period,org_code,parent_org,org_name,ae_attendances_type_1,ae_attendances_type_2,ae_attendances_other_ae_department,ae_attendances_booked_appointments_type_1,ae_attendances_booked_appointments_type_2,ae_attendances_booked_appointments_other_department,attendances_over_4hrs_type_1,attendances_over_4hrs_type_2,attendances_over_4hrs_other_department,attendances_over_4hrs_booked_appointments_type_1,attendances_over_4hrs_booked_appointments_type_2,attendances_over_4hrs_booked_appointments_other_department,patients_who_have_waited_412_hs_from_dta_to_admission,patients_who_have_waited_12_hrs_from_dta_to_admission,emergency_admissions_via_ae__type_1,emergency_admissions_via_ae__type_2,emergency_admissions_via_ae__other_ae_department,other_emergency_admissions,source_file,unnamed_22,unnamed_23,unnamed_24,unnamed_25,unnamed_26,a,Postcode,latitude,longitude
MSitAE-APRIL-2023,RFF,NHS ENGLAND NORTH EAST AND YORKSHIRE ,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,7488,0,0,416,0,0,1958,0,0,0,0,0,155,1,2383,0,0,470,April-2023-revised-130624-defv1.csv,,,,,,,S75 2EP,53.559132,-1.499493
MSitAE-APRIL-2023,RGR,NHS ENGLAND EAST OF ENGLAND ,WEST SUFFOLK NHS FOUNDATION TRUST,6188,0,647,57,0,0,0,0,0,0,0,0,465,46,1909,0,0,576,April-2023-revised-130624-defv1.csv,,,,,,,IP33 2QZ,52.231662,0.709176
MSitAE-APRIL-2023,RJN,NHS ENGLAND NORTH WEST ,EAST CHESHIRE NHS TRUST,3882,0,0,44,0,12,1669,0,0,0,0,0,199,335,769,0,0,114,April-2023-revised-130624-defv1.csv,,,,,,,SK10 3BL,53.262321,-2.141074
MSitAE-APRIL-2023,RWE,NHS ENGLAND MIDLANDS ,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,18537,1748,0,0,0,0,8296,120,0,0,0,0,1325,960,4798,3,0,3130,April-2023-revised-130624-defv1.csv,,,,,,,LE1 5WW,52.6268,-1.135953
MSitAE-APRIL-2023,RY5,NHS ENGLAND MIDLANDS ,LINCOLNSHIRE COMMUNITY HEALTH SERVICES NHS TRUST,0,0,7841,0,0,0,0,0,235,0,0,0,0,0,0,0,0,0,April-2023-revised-130624-defv1.csv,,,,,,,LN5 7JH,53.226467,-0.52415
MSitAE-APRIL-2023,RYF,NHS ENGLAND SOUTH WEST ,SOUTH WESTERN AMBULANCE SERVICE NHS FOUNDATION TRUST,0,0,1839,0,0,0,0,0,197,0,0,0,0,0,0,0,0,0,April-2023-revised-130624-defv1.csv,,,,,,,EX2 7HY,50.720169,-3.464744
MSitAE-APRIL-2023,Y03007,NHS ENGLAND MIDLANDS ,ERDINGTON GP HEALTH & WELLBEING WIC,0,0,0,0,0,1967,0,0,0,0,0,0,0,0,0,0,0,0,April-2023-revised-130624-defv1.csv,,,,,,,NOT AVAILABLE,,
MSitAE-APRIL-2023,ARN03,NHS ENGLAND NORTH EAST AND YORKSHIRE ,LOCAL CARE DIRECT,0,0,2118,0,0,242,0,0,0,0,0,0,0,0,0,0,0,0,April-2023-revised-130624-defv1.csv,,,,,,,NOT AVAILABLE,,
MSitAE-APRIL-2023,RCD,NHS ENGLAND NORTH EAST AND YORKSHIRE ,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,4412,0,763,143,0,43,863,0,1,16,0,0,89,4,1168,0,0,382,April-2023-revised-130624-defv1.csv,,,,,,,HG2 7SX,53.993807,-1.517573
MSitAE-APRIL-2023,REF,NHS ENGLAND SOUTH WEST ,ROYAL CORNWALL HOSPITALS NHS TRUST,5869,0,10527,0,0,0,3529,0,297,0,0,0,486,597,2110,0,25,1046,April-2023-revised-130624-defv1.csv,,,,,,,TR1 3LJ,50.266686,-5.091464
MSitAE-APRIL-2023,RHU,NHS ENGLAND SOUTH EAST ,PORTSMOUTH HOSPITALS UNIVERSITY NATIONAL HEALTH SERVICE TRUST,8810,687,2532,1180,0,808,0,0,0,0,0,0,1520,0,3479,0,0,2012,April-2023-revised-130624-defv1.csv,,,,,,,PO6 3LY,50.850297,-1.069932
MSitAE-APRIL-2023,RJR,NHS ENGLAND NORTH WEST ,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,6437,0,207,0,0,0,3012,0,2,0,0,0,339,646,1542,0,0,898,April-2023-revised-130624-defv1.csv,,,,,,,CH2 1UL,53.2088,-2.897884
MSitAE-APRIL-2023,RL4,NHS ENGLAND MIDLANDS ,THE ROYAL WOLVERHAMPTON NHS TRUST,12029,0,6652,1,0,546,3626,0,229,0,0,0,536,16,5721,0,0,771,April-2023-revised-130624-defv1.csv,,,,,,,WV10 0QP,52.599722,-2.095555
MSitAE-APRIL-2023,RW4,NHS ENGLAND NORTH WEST ,MERSEY CARE NHS FOUNDATION TRUST,0,0,11270,0,0,0,0,0,235,0,0,0,0,0,0,0,0,67,April-2023-revised-130624-defv1.csv,,,,,,,L34 1PJ,53.424035,-2.826417
MSitAE-APRIL-2023,RXF,NHS ENGLAND NORTH EAST AND YORKSHIRE ,MID YORKSHIRE HOSPITALS NHS TRUST,14817,0,5746,120,0,51,0,0,0,0,0,0,968,1,3750,0,177,946,April-2023-revised-130624-defv1.csv,,,,,,,WF1 4DG,53.692418,-1.488555
MSitAE-APRIL-2023,NL7,NHS ENGLAND MIDLANDS ,ASSURA VERTIS URGENT CARE CENTRES (BIRMINGHAM),0,0,4694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,April-2023-revised-130624-defv1.csv,,,,,,,NOT AVAILABLE,,
MSitAE-APRIL-2023,R1D,NHS ENGLAND MIDLANDS ,SHROPSHIRE COMMUNITY HEALTH NHS TRUST,0,0,2843,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,April-2023-revised-130624-defv1.csv,,,,,,,SY2 6FG,52.690597,-2.72109
MSitAE-APRIL-2023,RGP,NHS ENGLAND EAST OF ENGLAND ,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,6236,0,1462,98,0,0,2095,0,0,23,0,0,443,192,1467,0,0,430,April-2023-revised-130624-defv1.csv,,,,,,,NR31 6LA,52.561672,1.71798
MSitAE-APRIL-2023,RL1,NHS ENGLAND MIDLANDS ,THE ROBERT JONES AND AGNES HUNT ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,April-2023-revised-130624-defv1.csv,,,,,,,SY10 7AG,52.884212,-3.032685
MSitAE-APRIL-2023,RLT,NHS ENGLAND MIDLANDS ,GEORGE ELIOT HOSPITAL NHS TRUST,5524,0,1536,361,0,319,1895,0,30,0,0,0,619,1,926,0,0,31,April-2023-revised-130624-defv1.csv,,,,,,,CV10 7DJ,52.51258,-1.478439
MSitAE-APRIL-2023,RTK,NHS ENGLAND SOUTH EAST ,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,8802,0,0,0,0,0,3416,0,0,0,0,0,482,8,2671,0,0,720,April-2023-revised-130624-defv1.csv,,,,,,,KT16 0PZ,51.377832,-0.52706
MSitAE-APRIL-2023,RTP,NHS ENGLAND SOUTH EAST ,SURREY AND SUSSEX HEALTHCARE NHS TRUST,8391,0,1103,0,0,0,2022,0,25,0,0,0,541,118,2973,0,0,816,April-2023-revised-130624-defv1.csv,,,,,,,RH1 5RH,51.219194,-0.162009
MSitAE-APRIL-2023,RWX,NHS ENGLAND SOUTH EAST ,BERKSHIRE HEALTHCARE NHS FOUNDATION TRUST,0,0,1223,0,0,0,0,0,9,0,0,0,0,0,0,0,36,0,April-2023-revised-130624-defv1.csv,,,,,,,RG12 2UT,51.416178,-0.740213
MSitAE-APRIL-2023,Y03571,NHS ENGLAND MIDLANDS ,CORBY URGENT CARE CENTRE,0,0,7843,0,0,677,0,0,56,0,0,0,0,0,0,0,0,0,April-2023-revised-130624-defv1.csv,,,,,,,NOT AVAILABLE,,
MSitAE-APRIL-2023,NNJ,NHS ENGLAND MIDLANDS ,DHU HEALTH CARE C.I.C,0,0,2142,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,April-2023-revised-130624-defv1.csv,,,,,,,NOT AVAILABLE,,
MSitAE-APRIL-2023,NQT5F,NHS ENGLAND NORTH WEST ,SKELMERSDALE WALK IN CENTRE,0,0,1758,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,April-2023-revised-130624-defv1.csv,,,,,,,NOT AVAILABLE,,
MSitAE-APRIL-2023,NQT5H,NHS ENGLAND SOUTH WEST ,PAULTON MEMORIAL HOSPITAL,0,0,792,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,April-2023-revised-130624-defv1.csv,,,,,,,NOT AVAILABLE,,
MSitAE-APRIL-2023,RBK,NHS ENGLAND MIDLANDS ,WALSALL HEALTHCARE NHS TRUST,6964,0,3949,330,0,143,2468,0,57,53,0,0,636,51,2816,0,0,738,April-2023-revised-130624-defv1.csv,,,,,,,WS2 9PS,52.58233,-1.998924
MSitAE-APRIL-2023,RNU,NHS ENGLAND SOUTH EAST ,OXFORD HEALTH NHS FOUNDATION TRUST,0,0,2830,0,0,0,0,0,163,0,0,0,0,0,0,0,0,0,April-2023-revised-130624-defv1.csv,,,,,,,OX4 4XN,51.717422,-1.229479
MSitAE-APRIL-2023,RP5,NHS ENGLAND NORTH EAST AND YORKSHIRE ,DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST,12162,0,3118,0,0,0,4863,0,0,0,0,0,1012,64,3341,0,378,969,April-2023-revised-130624-defv1.csv,,,,,,,DN2 5LT,53.530805,-1.108942
MSitAE-APRIL-2023,RPC,NHS ENGLAND SOUTH EAST ,QUEEN VICTORIA HOSPITAL NHS FOUNDATION TRUST,0,0,1334,0,0,0,0,0,2,0,0,0,0,0,0,0,5,543,April-2023-revised-130624-defv1.csv,,,,,,,RH19 3DZ,51.135073,-0.0029
MSitAE-APRIL-2023,RQ3,NHS ENGLAND MIDLANDS ,BIRMINGHAM WOMEN'S AND CHILDREN'S NHS FOUNDATION TRUST,4477,0,0,0,0,0,663,0,0,0,0,0,0,0,856,0,0,114,April-2023-revised-130624-defv1.csv,,,,,,,B4 6NH,52.484784,-1.893808
MSitAE-APRIL-2023,RQX,NHS ENGLAND LONDON,HOMERTON HEALTHCARE NHS FOUNDATION TRUST,9875,0,0,15,0,0,1631,0,0,0,0,0,178,15,1548,0,0,187,April-2023-revised-130624-defv1.csv,,,,,,,E9 6SR,51.550634,-0.046099
MSitAE-APRIL-2023,RV9,NHS ENGLAND NORTH EAST AND YORKSHIRE ,HUMBER TEACHING NHS FOUNDATION TRUST,0,0,922,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,April-2023-revised-130624-defv1.csv,,,,,,,HU10 6ED,53.771873,-0.449206
MSitAE-APRIL-2023,RVY,NHS ENGLAND NORTH WEST ,SOUTHPORT AND ORMSKIRK HOSPITAL NHS TRUST,7014,0,2855,191,0,0,2179,0,0,32,0,0,402,105,1842,0,0,82,April-2023-revised-130624-defv1.csv,,,,,,,PR8 6PN,53.63357,-2.97882
MSitAE-APRIL-2023,RYG,NHS ENGLAND MIDLANDS ,COVENTRY AND WARWICKSHIRE PARTNERSHIP NHS TRUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,50,April-2023-revised-130624-defv1.csv,,,,,,,CV6 6NY,52.456608,-1.486907
MSitAE-APRIL-2023,RYR,NHS ENGLAND SOUTH EAST ,UNIVERSITY HOSPITALS SUSSEX NHS FOUNDATION TRUST,21937,1469,2196,1447,0,597,8444,35,101,462,0,9,1585,637,7567,33,48,1294,April-2023-revised-130624-defv1.csv,,,,,,,BN11 2DH,50.816691,-0.363429
MSitAE-APRIL-2023,NNJ07,NHS ENGLAND MIDLANDS ,LOUGHBOROUGH URGENT CARE CENTRE,0,0,4851,0,0,477,0,0,18,0,0,0,0,0,0,0,0,0,April-2023-revised-130624-defv1.csv,,,,,,,NOT AVAILABLE,,
MSitAE-APRIL-2023,NNJ0H,NHS ENGLAND MIDLANDS ,LLR EA - THE MERLYN VAZ HEALTH & SOCIAL CARE CENTRE,0,0,211,0,0,1535,0,0,0,0,0,0,0,0,0,0,0,0,April-2023-revised-130624-defv1.csv,,,,,,,NOT AVAILABLE,,
MSitAE-APRIL-2023,NNJ12,NHS ENGLAND MIDLANDS ,MARKET HARBOROUGH,0,0,174,0,0,410,0,0,0,0,0,0,0,0,0,0,0,0,April-2023-revised-130624-defv1.csv,,,,,,,NOT AVAILABLE,,
MSitAE-APRIL-2023,NNJ13,NHS ENGLAND MIDLANDS ,MELTON MOWBRAY,0,0,52,0,0,331,0,0,0,0,0,0,0,0,0,0,0,0,April-2023-revised-130624-defv1.csv,,,,,,,NOT AVAILABLE,,
MSitAE-APRIL-2023,NNJ14,NHS ENGLAND MIDLANDS ,OADBY,0,0,721,0,0,1520,0,0,0,0,0,0,0,0,0,0,0,0,April-2023-revised-130624-defv1.csv,,,,,,,NOT AVAILABLE,,
MSitAE-APRIL-2023,NNJ15,NHS ENGLAND MIDLANDS ,OAKHAM,0,0,53,0,0,297,0,0,0,0,0,0,0,0,0,0,0,0,April-2023-revised-130624-defv1.csv,,,,,,,NOT AVAILABLE,,
MSitAE-APRIL-2023,NTPAD,NHS ENGLAND SOUTH EAST ,PRACTICE PLUS GROUP SURGICAL CENTRE - ST MARYS PORTSMOUTH,0,0,5024,0,0,294,0,0,57,0,0,6,0,0,0,0,0,0,April-2023-revised-130624-defv1.csv,,,,,,,NOT AVAILABLE,,
MSitAE-APRIL-2023,NV693,NHS ENGLAND NORTH WEST ,ROSSENDALE MIU & OOH,0,0,734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,April-2023-revised-130624-defv1.csv,,,,,,,NOT AVAILABLE,,
MSitAE-APRIL-2023,RA7,NHS ENGLAND SOUTH WEST ,UNIVERSITY HOSPITALS BRISTOL AND WESTON NHS FOUNDATION TRUST,13074,2147,0,0,0,0,4413,51,0,0,0,0,1145,324,4398,8,0,1192,April-2023-revised-130624-defv1.csv,,,,,,,BS1 3NU,51.459478,-2.593019
MSitAE-APRIL-2023,RAJ,NHS ENGLAND EAST OF ENGLAND ,MID AND SOUTH ESSEX NHS FOUNDATION TRUST,27608,0,1997,750,0,94,9228,0,60,214,0,8,2201,17,7721,0,190,1097,April-2023-revised-130624-defv1.csv,,,,,,,SS0 0RY,51.553838,0.688617
MSitAE-APRIL-2023,RBD,NHS ENGLAND SOUTH WEST ,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,4071,0,0,326,0,3372,1257,0,0,72,0,4,94,3,1567,0,0,404,April-2023-revised-130624-defv1.csv,,,,,,,DT1 2JY,50.71294,-2.446936
MSitAE-APRIL-2023,RD8,NHS ENGLAND EAST OF ENGLAND ,MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,7102,0,4679,581,0,123,2708,0,192,205,0,0,711,0,1725,0,0,390,April-2023-revised-130624-defv1.csv,,,,,,,MK6 5LD,52.026384,-0.73576
MSitAE-APRIL-2023,RFR,NHS ENGLAND NORTH EAST AND YORKSHIRE ,THE ROTHERHAM NHS FOUNDATION TRUST,7597,0,0,6,0,0,0,0,0,0,0,0,444,0,2767,0,0,571,April-2023-revised-130624-defv1.csv,,,,,,,S60 2UD,53.413972,-1.34288
MSitAE-APRIL-2023,RGN,NHS ENGLAND EAST OF ENGLAND ,NORTH WEST ANGLIA NHS FOUNDATION TRUST,11396,0,3864,68,0,476,4700,0,463,29,0,47,432,647,2838,0,105,1126,April-2023-revised-130624-defv1.csv,,,,,,,PE3 9GZ,52.583921,-0.279386
MSitAE-APRIL-2023,RJ2,NHS ENGLAND LONDON,LEWISHAM AND GREENWICH NHS TRUST,12189,0,11548,109,0,57,6059,0,1386,20,0,0,1079,551,3329,0,0,1135,April-2023-revised-130624-defv1.csv,,,,,,,SE13 6LH,51.453022,-0.017916
MSitAE-APRIL-2023,RJZ,NHS ENGLAND LONDON,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,13686,0,7719,90,0,1431,6559,0,1161,34,0,290,1251,767,3467,0,0,480,April-2023-revised-130624-defv1.csv,,,,,,,SE5 9RS,51.468077,-0.093916
MSitAE-APRIL-2023,RK5,NHS ENGLAND MIDLANDS ,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,9526,0,4930,22,0,92,3309,0,241,8,0,1,686,83,3083,0,0,357,April-2023-revised-130624-defv1.csv,,,,,,,NG17 4JL,53.134573,-1.233579
MSitAE-APRIL-2023,RM1,NHS ENGLAND EAST OF ENGLAND ,NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,10112,0,8069,446,0,0,3841,0,4,123,0,0,978,297,2460,0,0,1537,April-2023-revised-130624-defv1.csv,,,,,,,NR4 7UY,52.617567,1.221195
MSitAE-APRIL-2023,RN5,NHS ENGLAND SOUTH EAST ,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,11089,0,205,0,0,211,3891,0,0,0,0,0,1005,5,3877,0,0,925,April-2023-revised-130624-defv1.csv,,,,,,,RG24 9NA,51.280633,-1.109918
